,WASHER_NO,DRYER_NO,COUNTS,SUM,PROBABILITY
0,3,7,90,228,0.39473684210526316
1,3,8,49,228,0.2149122807017544
2,3,9,48,228,0.21052631578947367
3,3,10,41,228,0.17982456140350878
4,4,7,49,182,0.2692307692307692
5,4,8,61,182,0.33516483516483514
6,4,9,29,182,0.15934065934065933
7,4,10,43,182,0.23626373626373626
8,5,7,48,190,0.25263157894736843
9,5,8,41,190,0.21578947368421053
10,5,9,57,190,0.3
11,5,10,44,190,0.23157894736842105
12,6,7,46,207,0.2222222222222222
13,6,8,47,207,0.22705314009661837
14,6,9,47,207,0.22705314009661837
15,6,10,67,207,0.32367149758454106
